version,year,correct,incorrect,accuracy,lower,upper
v99.99.99,1976,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1977,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1978,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1979,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1980,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1981,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1982,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1983,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1984,2,1,0.6666666666666666,0.2486046257301818,0.9023885371135856
v99.99.99,1985,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1986,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1987,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1988,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1989,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,1990,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1991,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1992,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1993,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1994,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,1995,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1996,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1997,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1998,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,1999,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2000,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2001,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2002,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2003,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2004,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2005,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2006,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2007,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2008,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2009,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2010,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2011,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2012,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2013,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2014,3,0,1.0,0.4728708045015879,0.9872585449014338
v99.99.99,2015,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,2016,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,2017,1,1,0.5,0.13535036217158378,0.8646496378284161
v99.99.99,2018,2,0,1.0,0.3684031498640387,0.9830475724915585
v99.99.99,2019,0,1,0.0,0.02532056551910361,0.776393202250021
v99.99.99,2020,1,0,1.0,0.22360679774997896,0.9746794344808963
v99.99.99,2021,2,0,1.0,0.3684031498640387,0.9830475724915585
