path,first_date,last_date
data/199697/prot-199697--010.xml,1996-10-04,
data/199798/prot-199798--079.xml,1997-03-12,
data/199899/prot-199899--109.xml,1998-06-14,
data/19992000/prot-19992000--071.xml,1999-02-23,
data/200001/prot-200001--035.xml,2000-11-28,
data/200102/prot-200102--113.xml,2001-05-27,
data/200203/prot-200203--035.xml,2002-12-12,
data/200304/prot-200304--134.xml,2003-07-08,
data/200405/prot-200405--005.xml,2004-09-20,
data/200506/prot-200506--065.xml,2005-02-01,
data/200607/prot-200607--006.xml,2006-10-06,
data/200708/prot-200708--123.xml,2007-06-05,
data/200809/prot-200809--052.xml,2008-12-18,
data/200910/prot-200910--072.xml,2009-02-10,
data/201011/prot-201011--067.xml,2010-03-04,
data/201112/prot-201112--024.xml,2011-10-27,
data/201213/prot-201213--036.xml,2012-12-04,
data/201314/prot-201314--055.xml,2013-01-16,
data/201415/prot-201415--010.xml,2014-10-16,
data/201516/prot-201516--103.xml,2015-05-11,
data/201617/prot-201617--065.xml,2016-02-02,
data/201718/prot-201718--054.xml,2017-12-20,
data/201819/prot-201819--016.xml,2018-11-14,
data/201920/prot-201920--065.xml,2019-01-29,
data/202021/prot-202021--140.xml,2020-06-14,
data/202122/prot-202122--093.xml,2021-04-05,
