protocol_id,link,titles
prot-1912--ak--039,https://swerik-project.github.io/riksdagen-records-pdf/1912/prot-1912--ak--039/prot-1912--ak--039_003,no header
prot-1912--ak--046,https://swerik-project.github.io/riksdagen-records-pdf/1912/prot-1912--ak--046/prot-1912--ak--046_020,no header
prot-1912--ak--049,https://swerik-project.github.io/riksdagen-records-pdf/1912/prot-1912--ak--049/prot-1912--ak--049_108,§ 24.
prot-1912--ak--054,https://swerik-project.github.io/riksdagen-records-pdf/1912/prot-1912--ak--054/prot-1912--ak--054_017,no header
prot-1912--fk--010,https://swerik-project.github.io/riksdagen-records-pdf/1912/prot-1912--fk--010/prot-1912--fk--010_023,no header
prot-1913--ak--007,https://swerik-project.github.io/riksdagen-records-pdf/1913/prot-1913--ak--007/prot-1913--ak--007_010,no header
prot-1913--ak--025,https://swerik-project.github.io/riksdagen-records-pdf/1913/prot-1913--ak--025/prot-1913--ak--025_050,no header
prot-1913--fk--025,https://swerik-project.github.io/riksdagen-records-pdf/1913/prot-1913--fk--025/prot-1913--fk--025_031,no header
prot-1914-b-fk--071,https://swerik-project.github.io/riksdagen-records-pdf/1914/prot-1914-b-fk--071/prot-1914-b-fk--071_016,no header
prot-1916--ak--006,https://swerik-project.github.io/riksdagen-records-pdf/1916/prot-1916--ak--006/prot-1916--ak--006_016,no header
prot-1916--ak--032,https://swerik-project.github.io/riksdagen-records-pdf/1916/prot-1916--ak--032/prot-1916--ak--032_015,§ 7.
prot-1917--ak--040,https://swerik-project.github.io/riksdagen-records-pdf/1917/prot-1917--ak--040/prot-1917--ak--040_008,no header
prot-1917--ak--072,https://swerik-project.github.io/riksdagen-records-pdf/1917/prot-1917--ak--072/prot-1917--ak--072_015,no header
prot-1917--fk--036,https://swerik-project.github.io/riksdagen-records-pdf/1917/prot-1917--fk--036/prot-1917--fk--036_025,no header
prot-1917--fk--044,https://swerik-project.github.io/riksdagen-records-pdf/1917/prot-1917--fk--044/prot-1917--fk--044_002,no header
prot-1918--ak--002,https://swerik-project.github.io/riksdagen-records-pdf/1918/prot-1918--ak--002/prot-1918--ak--002_001,§ 1.; § 2.
prot-1918--ak--026,https://swerik-project.github.io/riksdagen-records-pdf/1918/prot-1918--ak--026/prot-1918--ak--026_042,no header
prot-1918--ak--035,https://swerik-project.github.io/riksdagen-records-pdf/1918/prot-1918--ak--035/prot-1918--ak--035_054,no header
prot-1918--fk--014,https://swerik-project.github.io/riksdagen-records-pdf/1918/prot-1918--fk--014/prot-1918--fk--014_060,no header
prot-1918--fk--039,https://swerik-project.github.io/riksdagen-records-pdf/1918/prot-1918--fk--039/prot-1918--fk--039_053,no header
prot-1918-urtima-ak--015,https://swerik-project.github.io/riksdagen-records-pdf/1918/prot-1918-urtima-ak--015/prot-1918-urtima-ak--015_016,no header
prot-1919--ak--042,https://swerik-project.github.io/riksdagen-records-pdf/1919/prot-1919--ak--042/prot-1919--ak--042_058,no header
prot-1919--ak--051,https://swerik-project.github.io/riksdagen-records-pdf/1919/prot-1919--ak--051/prot-1919--ak--051_056,no header
prot-1919--fk--051,https://swerik-project.github.io/riksdagen-records-pdf/1919/prot-1919--fk--051/prot-1919--fk--051_025,no header
prot-1920--ak--078,https://swerik-project.github.io/riksdagen-records-pdf/1920/prot-1920--ak--078/prot-1920--ak--078_010,no header
prot-1920--fk--070,https://swerik-project.github.io/riksdagen-records-pdf/1920/prot-1920--fk--070/prot-1920--fk--070_014,no header
prot-1921--ak--029,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--ak--029/prot-1921--ak--029_124,no header
prot-1921--ak--051,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--ak--051/prot-1921--ak--051_010,no header
prot-1921--ak--059,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--ak--059/prot-1921--ak--059_016,no header
prot-1921--fk--020,https://swerik-project.github.io/riksdagen-records-pdf/1921/prot-1921--fk--020/prot-1921--fk--020_046,no header
