protocol_id	x	facs	github	NROWS	NCOLS	row_to_check	content	tricky	most_probable_line	lev
data/1873/prot-1873--fk--0409.xml	6	https://betalab.kb.se/prot-1873--fk--0409/prot_1873__fk__0409-006.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--fk--0409.xml#L435	50	1	14	hvilketdera de vilja studera.		hvilketdera de vilja studera.	0
data/1873/prot-1873--fk--0409.xml	6	https://betalab.kb.se/prot-1873--fk--0409/prot_1873__fk__0409-006.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--fk--0409.xml#L435	50	1	16	offring som den ifrågavarande, synes det mig, att man ej bör tveka		offring som den ifrågavarande, synes det mig, att man ej bör tveka	0
data/1873/prot-1873--fk--0409.xml	6	https://betalab.kb.se/prot-1873--fk--0409/prot_1873__fk__0409-006.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--fk--0409.xml#L435	50	1	28	Herr Statsrådet Wennerberg: Då jag varit förhindrad att		herr statsrådet wennerberg:	28
data/1873/prot-1873--fk--0419.xml	19	https://betalab.kb.se/prot-1873--fk--0419/prot_1873__fk__0419-019.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--fk--0419.xml#L1374	51	1	17	uttryckande det lämpliga värdeförhållandet emellan de begge me-		uttryckande det lämpliga värdeförhållandet emellan de begge met	1
data/1873/prot-1873--fk--0419.xml	19	https://betalab.kb.se/prot-1873--fk--0419/prot_1873__fk__0419-019.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--fk--0419.xml#L1374	51	1	19	Hvad Holland beträffar, torde jag få omnämna att, enligt en artikel		hvad holland beträffar, torde jag få omnämna att, enligt en artikel	0
data/1873/prot-1873--fk--0419.xml	19	https://betalab.kb.se/prot-1873--fk--0419/prot_1873__fk__0419-019.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1873/prot-1873--fk--0419.xml#L1374	51	1	38	ty förhållandet är, att det skiljemynt, som präglas i det ena förbunds-		ty förhållandet är, att det skiljemynt, som präglas i det ena förbundsl	1
data/1875/prot-1875--ak--026.xml	12	https://betalab.kb.se/prot-1875--ak--26/prot_1875__ak__26-012.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--ak--26.xml#L891	49	1	3	motsvarande den pension, han i framtiden eger åtnjuta. Ehuru		motsvarande den pension, han i framtiden eger åtnjuta. hehur	2
data/1875/prot-1875--ak--026.xml	12	https://betalab.kb.se/prot-1875--ak--26/prot_1875__ak__26-012.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--ak--26.xml#L891	49	1	16	vara nödvändigt, att Riksdagen antingen nedsätter eller kanske		vara nödvändigt, att riksdagen antingen nedsätter eller kanske	0
data/1875/prot-1875--ak--026.xml	12	https://betalab.kb.se/prot-1875--ak--26/prot_1875__ak__26-012.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--ak--26.xml#L891	49	1	18	går på detta sätt, tror jag att en hel del tjenstemän kommer att		går på detta sätt, tror jag att en hel del tjenstemän kommer att	0
data/1875/prot-1875--ak--008.xml	37	https://betalab.kb.se/prot-1875--ak--8/prot_1875__ak__8-037.jp2/_view	https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1875/prot-1875--ak--8.xml#L3179	47	1	18	flickor som för närvarande arbeta der, och hvilkas helsa dessutom		flickor som för närvarande arbeta der, och hvilkas helsa dessutom	0
